country_name, payout, prefix, iprn_proba, iprn_id
Comoros,0.07,269,0.291666666667,156
Eritrea,0.06,291,0.4,157
Montserrat,0.06,1664,0.48,158
Bosnia and Herzegovina,0.06,387,0.181818181818,159
Bosnia and Herzegovina,0.06,387,0.181818181818,160
Bosnia and Herzegovina,0.05,387,0.151515151515,161
British Virgin Islands,0.05,1284,0.454545454545,162
Grenada,0.05,1473,0.454545454545,163
Trinidad and Tobago,0.05,1868,0.454545454545,164
Bosnia and Herzegovina,0.05,387,0.151515151515,165
Jamaica,0.05,1876,0.384615384615,166
Haiti,0.05,509,0.555555555556,167
Anguilla,0.05,1264,0.116279069767,168
Benin,0.05,229,0.208333333333,169
Burkina Faso,0.05,226,0.185185185185,170
Barbados,0.05,1246,0.238095238095,171
Eritrea,0.05,291,0.333333333333,172
Niger,0.05,227,0.0675675675676,173
Barbados,0.05,1246,0.238095238095,174
Antigua and Barbuda,0.05,1268,0.555555555556,175
Saint Lucia,0.05,1758,0.555555555556,176
Saint Kitts and Nevis,0.05,1869,0.555555555556,177
Ecuador,0.05,593,0.555555555556,178
Turks and Caicos Islands,0.05,1649,0.454545454545,179
Montserrat,0.045,1664,0.36,180
Jamaica,0.04,1876,0.307692307692,181
Barbados,0.04,1246,0.190476190476,182
Grenada,0.04,1473,0.363636363636,183
Ecuador,0.04,593,0.444444444444,184
Haiti,0.04,509,0.444444444444,185
Jamaica,0.04,1876,0.307692307692,186
Turks and Caicos Islands,0.04,1649,0.363636363636,187
Trinidad and Tobago,0.04,1868,0.363636363636,188
Anguilla,0.04,1264,0.093023255814,189
Barbados,0.04,1246,0.190476190476,190
Saint Lucia,0.04,1758,0.444444444444,191
Saint Kitts and Nevis,0.04,1869,0.444444444444,192
Eritrea,0.04,291,0.266666666667,193
Burkina Faso,0.04,226,0.148148148148,194
Mali,0.04,223,0.615384615385,195
Benin,0.04,229,0.166666666667,196
Bosnia and Herzegovina,0.04,387,0.121212121212,197
British Virgin Islands,0.04,1284,0.363636363636,198
Togo,0.04,228,0.0610687022901,199
Antigua and Barbuda,0.04,1268,0.444444444444,200
Barbados,0.03,1246,0.142857142857,201
Oman,0.03,968,0.461538461538,202
Slovenia,0.025,386,0.555555555556,203
Mali,0.025,223,0.384615384615,204
Trinidad and Tobago,0.02,1868,0.181818181818,205
Slovenia,0.02,386,0.444444444444,206
Albania,0.02,355,1,207
Anguilla,0.02,1264,0.046511627907,208
Oman,0.02,968,0.307692307692,209
Montserrat,0.02,1664,0.16,210
Aruba,0.02,297,1,211
British Virgin Islands,0.02,1284,0.181818181818,212
Sri Lanka,0.02,94,1,213
Turks and Caicos Islands,0.02,1649,0.181818181818,214
Saint Vincent and the Grenadines,0.02,1784,1,215
Grenada,0.02,1473,0.181818181818,216
Guatemala,0.02,502,0.666666666667,217
Croatia,0.02,385,0.666666666667,218
Dominica,0.02,1767,1,219
Oman,0.015,968,0.230769230769,220
Croatia,0.01,385,0.333333333333,221
Guatemala,0.01,502,0.333333333333,222
Bosnia and Herzegovina,0,387,0,223
